State,Category Of Video ,Builder Name,Project Name,City Name,Youtube Link 
Bihar,Aerial Drone,DSPL,Dadiji Snacks Private Limited ,Patna,https://youtu.be/6tbNVHw-KZ4
Bihar,Route Video,Himalaya Prangan,RPS Gayaji City,Bihar,https://youtu.be/KxokOJEDOlc
Bihar,Route Video,Himalaya Prangan,RPS Gayaji City,Bihar,https://youtu.be/xY-AxpdoyJE
Bihar,Route Video, KKT Constructions Private Limited,Veena Vatika,Darbhanga,https://youtu.be/UYsPyBmB1BQ
Bihar,Route Video,DSPL,Dadiji Snacks Private Limited ,Patna,https://youtu.be/DavAGNee29U
Bihar,Route Video,Capital Heights ,Venus Patna,Patna,https://youtu.be/q7FrA-A3Ulo
