State,Category Of Video ,Builder Name,Project Name,City Name,Title ,Youtube Link 
,Locality Video,,Real Estate Locality Video,,,https://youtu.be/YkPql71CTp4
,Locality Video,,Locality Video Showreel,,,https://youtu.be/k7NczXWN7xk
,Project Showcase,,Project Virtual Tour Showreel,,,https://youtu.be/s3hxDBdAPt8
,Interior,,Interior Virtual,,,https://youtu.be/JLon5nfVC_E
,3D Video,,3D Virtual Tours Showreel,,,https://youtu.be/oty4ZbJ4gMY
,Connectivity,,Connectivity Video Service,,,https://youtu.be/mQl2hmSIJXQ
,Construction Update,,Construction Progress,,,https://youtu.be/9RR7634Ru0I
,Review Videos,,Real Estate Testimonial Video,,,https://youtu.be/OSdSOqEkVOc
,Construction Update,,Construction Timelapse,,,https://youtu.be/qmqF4u-i7iQ
,Influencer Video,,"Beautiful Models, Stunning Properties ",,,https://youtu.be/mVwEMbqmO_0
,Construction Update,,Real Estate Construction Updates,,,https://youtu.be/CevHKg8Xe-8
,Project Showcase,,Live Property Webinar,,,https://youtu.be/XDLl0U8jFz0
,Route Video ,,Jaipur Drone Route Video ,,,https://youtu.be/ZZxULujfu4o
,Construction Update,,Construction Drone Video,,,https://youtu.be/DyfSMAIaaoo
,Construction Update,,Construction update video,,,https://youtu.be/i5-yPxbjWI8
,Locality Video,,Locality video,,,https://youtu.be/UG2b9qtEBzY
,Locality Video,,Locality Video Showreel,,,https://youtu.be/hdDGdDBBKlg
,Influencer Video,,Project Showcase Videos,,,https://youtu.be/1uNFVfjBCmA
,Construction Update,,Construction Update,,,https://youtu.be/1vFSItQy590
,Project showcase,,"Villora Aarnika Infra Video",,,https://youtu.be/veU97FWq1jM
,Construction Update,,Construction Update Video,,,https://youtu.be/qqtcwgrafrQ
,Locality Video,,Locality Video,,,https://youtu.be/qmGf2uVg5A8
,Project Showcase,, Project Showcase Video,,,https://youtu.be/fJK0x8VWopc
,Locality Video,, Locality Showcase ,,,https://youtu.be/OaDkfiPa0Go
,Route Video,,Drone Route Video,,,https://youtu.be/VX_e16DDg-E
,Influencer Video,,Property Showcase,,,https://youtu.be/o04ym-xlBgI
,Construction Update,,Construction Update,,,https://youtu.be/RugCySwBd0o
,Influencer Video,,Property Showcase,,,https://youtu.be/kxV8cclXzL4
,Connectivity,,Connectivity & Drone Route Video,,,https://youtu.be/E8c38-oGHHs
,Locality Video,,Locality Video,,,https://youtu.be/we7nfoWxzbY
,Influencer Video,,Property Showcase with Models,,,https://youtu.be/kXVbT1BDP50
,Construction Update,,Before vs After Transformation,,,https://youtu.be/VVqyXagYlcU
,Aerial View,, Area Wiki Video ,,,https://youtu.be/fnlMrO8Pax0
,Aerial View,,Area Wiki Video,,,https://youtu.be/6Mm8ynpkLrU
,Construction Update,,Construction Update,,,https://youtu.be/AQ2ALO-VlRQ
,Project Showcase,,Project Showcase Videos,,,https://youtu.be/j9KNaLpU4Q0
,Project Showcase,,Project Showcase Videos,,,https://youtu.be/wqxUhDpEu0A
,Construction Update,,Construction Update,,,https://youtu.be/KDuX86JobQw
,Influencer Video,,Project Showcase Videos,,,https://youtu.be/VoNz5iNrjO8
,Construction Update,,Construction Update,,,https://youtu.be/Whaf028iVfQ
,Locality Video,,Locality Video,,,https://youtu.be/pDcr4miA_Ec
,Project Showcase,,Webinar & Live Streaming,,,https://youtu.be/LFHYLzPxc4g
,Construction Update,,Construction Update,,,https://youtu.be/dLjsBSEg3ww
,Project Showcase,,Project Video,,,https://youtu.be/K181XzyAonI
,Construction Update,,Construction Update,,,https://youtu.be/72vN8WFWqRk
,Project Showcase,,Webinar & Live Streaming,,,https://youtu.be/Heiwry2iHoM
,Project Showcase,,Webinar & Live Streaming,,,https://youtu.be/xtSJXwiX8hI
,Aerial View ,,Area Wiki Video,,,https://youtu.be/E0TxkhWlQ-s
,Construction Update,,Construction Update,,,https://youtu.be/ZylDtU7DmIQ
,Construction Update,,Construction Update,,,https://youtu.be/NEtyV7_szEM
,Influencer Video,, Influencers Video ,,,https://youtu.be/FwyfK4uLqQk
,Influencer Video,, Influencers Video ,,,https://youtu.be/cUXCZN8bbdc
,Construction Update,,Construction Update,,,https://youtu.be/ZPDmp1p_fF4
,Locality Video,,Locality Videos,,,https://youtu.be/eFVVxbDicCY
,Locality Video,,Locality Videos,,,https://youtu.be/7RkYvbHAbv8
,Project Showcase,,Project Showcase ,,,https://youtu.be/7QVv8_5Hqsk
,Aerial View,,Area Wiki Video,,,https://youtu.be/hltZgFv-9_Y
,Project Showcase,,Project Showcase ,,,https://youtu.be/Ws-MhObQ7mI
,Construction Update,,Construction Update,,,https://youtu.be/QvJa79L9a5o
,Locality Video,,Drone Locality Video,,,https://youtu.be/Ook6v9u-t7s
,Aerial View,,Area Wiki Video,,,https://youtu.be/vsxRgdue-_E
,Project Showcase,,Project Showcase,,,https://youtu.be/9cwOUynJG8w
,Construction Update,,Construction Update,,,https://youtu.be/TP-zLJO-5Bw
,Route Video,,Drone Route Video,,,https://youtu.be/Lw6mOx9v4Oo
,Influencer Video,, Influencers Video ,,,https://youtu.be/x2aDSFrWhGM
,Construction Update,,Construction Update,,,https://youtu.be/bPBsVeTebhA
,Construction Update,,Construction Update,,,https://youtu.be/fbsrjIhEO_Q
,Locality Video,,Locality Videos,,,https://youtu.be/DhgWPqvOkP0
,3D Video,,𝐒𝐜𝐚𝐥𝐞 𝐌𝐨𝐝𝐞𝐥𝐬 ,,,https://youtu.be/2nZYRBz-7Vs
,Influencer Video,, Influencers Video ,,,https://youtu.be/hvSTXF0vR9I
,Project Showcase,,Project Showcase ,,,https://youtu.be/gxIosAqrVHo
,Construction Update,,Construction Update,,,https://youtu.be/UlMTJylET_k
,Route Video,,Drone Route Video,,,https://youtu.be/Inowq81fQtY
,Locality Video,,Locality Videos,,,https://youtu.be/rLn8Th9U__w
,Route Video,,Drone Route Video,,,https://youtu.be/iHiXPg1mkwg
,Construction Update,,Construction Update,,,https://youtu.be/QnYZEh6VR04
,Locality Video,,Locality Videos,,,https://youtu.be/OQiqUBIxiTM
,Aerial View,,Area Wiki Video,,,https://youtu.be/urYB6EiIpgA
,Locality Video,,Locality Videos,,,https://youtu.be/FuZWwH4UIOE
,Project Showcase,,Dadi ji Snacks PVT,,,https://youtu.be/yx0ncXHuz4A
,Construction Update,,Construction Update,,,https://youtu.be/afGWll-Ku2c
,Construction Update,,Construction Update,,,https://youtu.be/FZJK5yBk-Ks
,Project Showcase,,Scale Model,,,https://youtu.be/1rKKQSum_6w
,Aerial View ,,Aerial Video ,,,https://youtu.be/h4St4Tc8d4w
,Aerial View ,,Aerial Video ,,,https://youtu.be/Lb-jr6_4B2E
